Time_taken, Dev_set_loss, Train_set_loss, Train_loss, Context_length, Embedding_dim, Hidden_neurons
9.01 seconds, 3.005483865737915, 3.009030818939209, 2.9226624965667725, 5, 5, 400
9.25 seconds, 3.0254173278808594, 3.0289041996002197, 2.4901809692382812, 5, 5, 450
9.50 seconds, 3.024567127227783, 2.9901373386383057, 3.173692464828491, 5, 5, 500
9.63 seconds, 2.983719825744629, 2.9761831760406494, 2.843189239501953, 5, 6, 50
9.77 seconds, 3.6993210315704346, 3.7013919353485107, 4.385152816772461, 5, 6, 100
9.93 seconds, 3.243748903274536, 3.2585103511810303, 3.0513124465942383, 5, 6, 150
10.10 seconds, 3.3198184967041016, 3.3514013290405273, 3.174471378326416, 5, 6, 200
10.30 seconds, 2.9429566860198975, 2.9560787677764893, 2.7960734367370605, 5, 6, 250
10.51 seconds, 3.4734420776367188, 3.4778664112091064, 2.93422794342041, 5, 6, 300
10.74 seconds, 3.150481700897217, 3.1429076194763184, 2.5463755130767822, 5, 6, 350
10.95 seconds, 3.7067713737487793, 3.734088897705078, 4.275927543640137, 5, 6, 400
11.24 seconds, 3.326983690261841, 3.332693576812744, 3.4288859367370605, 5, 6, 450
11.53 seconds, 3.556683301925659, 3.546699285507202, 2.9729950428009033, 5, 6, 500
11.66 seconds, 2.8061907291412354, 2.8186380863189697, 2.4201059341430664, 5, 7, 50
11.80 seconds, 3.0550928115844727, 3.046660900115967, 3.10160493850708, 5, 7, 100
11.95 seconds, 3.0711913108825684, 3.069866180419922, 3.0808982849121094, 5, 7, 150
12.11 seconds, 3.4198336601257324, 3.4133691787719727, 3.0864386558532715, 5, 7, 200
12.29 seconds, 3.1175661087036133, 3.118298053741455, 3.3731791973114014, 5, 7, 250
12.48 seconds, 3.396130084991455, 3.420527935028076, 4.874448776245117, 5, 7, 300
12.70 seconds, 3.049891471862793, 3.050821304321289, 2.4261491298675537, 5, 7, 350
12.92 seconds, 3.4374396800994873, 3.433533191680908, 3.8207662105560303, 5, 7, 400
13.18 seconds, 3.338383436203003, 3.3585174083709717, 4.716756820678711, 5, 7, 450
13.45 seconds, 3.7730941772460938, 3.7880117893218994, 2.69014310836792, 5, 7, 500
13.58 seconds, 3.302945375442505, 3.313052177429199, 3.5231592655181885, 5, 8, 50
